iteration,best_cost,gap_percent,source
1,32131.000000,1.619280,routing
3,32127.000000,1.606629,routing
8,32117.000000,1.575002,routing
9,32106.000000,1.540213,scp
15,32094.000000,1.502261,scp
18,32079.000000,1.454821,scp
