iteration,best_cost,gap_percent,source
1,1459270.000000,0.476262,routing
3,1459232.000000,0.473645,scp
4,1457418.000000,0.348744,routing
17,1457269.000000,0.338485,routing
23,1456530.000000,0.287602,routing
