iteration,best_cost,gap_percent,source
1,92763.000000,0.395030,routing
8,92747.000000,0.377714,routing
9,92717.000000,0.345246,scp
12,92685.000000,0.310613,scp
15,92675.000000,0.299790,scp
21,92642.000000,0.264075,scp
