iteration,best_cost,gap_percent,source
1,387322.000000,0.695705,routing
2,387278.000000,0.684266,routing
6,387043.000000,0.623170,scp
9,387042.000000,0.622910,scp
12,386994.000000,0.610431,scp
18,386970.000000,0.604192,scp
