iteration,best_cost,gap_percent,source
1,431332.000000,0.051959,routing
2,431303.000000,0.045232,routing
3,431280.000000,0.039897,scp
6,431262.000000,0.035722,scp
9,431256.000000,0.034330,scp
12,431244.000000,0.031547,scp
15,431225.000000,0.027139,scp
