iteration,best_cost,gap_percent,source
1,251544.000000,0.606332,routing
3,251508.000000,0.591934,scp
6,251503.000000,0.589934,scp
9,251487.000000,0.583535,scp
12,251476.000000,0.579135,scp
15,251443.000000,0.565937,scp
18,251370.000000,0.536740,scp
20,251253.000000,0.489945,routing
21,251252.000000,0.489545,scp
24,251231.000000,0.481146,scp
