iteration,best_cost,gap_percent,source
1,269167.000000,1.078503,routing
3,269163.000000,1.077001,scp
7,268667.000000,0.890741,routing
12,268666.000000,0.890366,scp
15,268293.000000,0.750296,routing
15,268156.000000,0.698849,scp
