iteration,best_cost,gap_percent,source
1,4091530.000000,0.357965,routing
2,4086629.000000,0.237752,routing
7,4086191.000000,0.227009,routing
8,4084891.000000,0.195122,routing
11,4083129.000000,0.151903,routing
