iteration,best_cost,gap_percent,source
1,144417.000000,0.598364,routing
6,144366.000000,0.562839,routing
6,144329.000000,0.537065,scp
12,144287.000000,0.507809,scp
15,144270.000000,0.495967,scp
24,144251.000000,0.482732,scp
29,144233.000000,0.470193,routing
30,144170.000000,0.426309,scp
33,144146.000000,0.409591,scp
