iteration,best_cost,gap_percent,source
1,48505.000000,1.033140,routing
7,48411.000000,0.837343,routing
11,48361.000000,0.733196,routing
12,48356.000000,0.722781,scp
15,48296.000000,0.597805,scp
18,48281.000000,0.566560,scp
24,48257.000000,0.516570,scp
33,48255.000000,0.512404,scp
36,48219.000000,0.437418,scp
39,48203.000000,0.404091,scp
