iteration,best_cost,gap_percent,source
1,245793.000000,0.778204,routing
3,245570.000000,0.686771,routing
6,245568.000000,0.685951,scp
8,245530.000000,0.670370,routing
9,245495.000000,0.656020,scp
15,245475.000000,0.647820,scp
23,245228.000000,0.546547,routing
24,245182.000000,0.527686,scp
