iteration,best_cost,gap_percent,source
1,71624.000000,1.221029,routing
3,71453.000000,0.979367,routing
3,71388.000000,0.887507,scp
9,71322.000000,0.794234,scp
15,71217.000000,0.645845,scp
18,71214.000000,0.641605,scp
