iteration,best_cost,gap_percent,source
1,36686.000000,0.868848,routing
15,36643.000000,0.750619,scp
20,36640.000000,0.742370,routing
21,36624.000000,0.698378,scp
24,36607.000000,0.651636,scp
35,36569.000000,0.547154,routing
45,36541.000000,0.470168,scp
