iteration,best_cost,gap_percent,source
1,96284.000000,0.675464,routing
27,96283.000000,0.674418,scp
30,96229.000000,0.617955,routing
30,96218.000000,0.606454,scp
33,96208.000000,0.595997,scp
36,96198.000000,0.585541,scp
